no,category,brand,name,price,gender,color_family,link,list_image
1962,Hand Bags,Asiro,Teri,Rp 599.000,female,black,https://www.zalora.co.id/asiro-teri-black-2172935.html,http://static.id.zalora.net/p/asiro-7362-5392712-1.jpg|http://static.id.zalora.net/p/asiro-7363-5392712-2.jpg|http://static.id.zalora.net/p/asiro-7363-5392712-3.jpg|http://static.id.zalora.net/p/asiro-7363-5392712-4.jpg|http://static.id.zalora.net/p/asiro-7363-5392712-5.jpg|
1963,Hand Bags,SAINT LUCAS,Saint Lucas Premium Women Bag,Rp 1.199.000,female,yellow,https://www.zalora.co.id/saint-lucas-saint-lucas-premium-women-bag-yellow-2218525.html,http://static.id.zalora.net/p/saint-lucas-7889-5258122-1.jpg|http://static.id.zalora.net/p/saint-lucas-7890-5258122-2.jpg|http://static.id.zalora.net/p/saint-lucas-7890-5258122-3.jpg|http://static.id.zalora.net/p/saint-lucas-7890-5258122-4.jpg|
1964,Hand Bags,Marhen J,MARHEN.J ROY MINI GREEN,Rp 2.295.000,female,green,https://www.zalora.co.id/marhen-j-marhen-j-roy-mini-green-green-2202727.html,http://static.id.zalora.net/p/marhen-j-8291-7272022-1.jpg|http://static.id.zalora.net/p/marhen-j-8291-7272022-2.jpg|http://static.id.zalora.net/p/marhen-j-8292-7272022-3.jpg|http://static.id.zalora.net/p/marhen-j-8292-7272022-4.jpg|http://static.id.zalora.net/p/marhen-j-8292-7272022-5.jpg|
1965,Hand Bags,Fossil,Fossil Camilla - Leather - Mini Backpack - Henna - Tas Wanita - ZB7667-227,Rp 3.065.000,female,brown,https://www.zalora.co.id/fossil-fossil-camilla-leather-mini-backpack-henna-tas-wanita-zb7667-227-brown-1665215.html,http://static.id.zalora.net/p/fossil-4465-5125661-1.jpg|http://static.id.zalora.net/p/fossil-4465-5125661-2.jpg|http://static.id.zalora.net/p/fossil-4465-5125661-3.jpg|http://static.id.zalora.net/p/fossil-4465-5125661-4.jpg|http://static.id.zalora.net/p/fossil-4465-5125661-5.jpg|http://static.id.zalora.net/p/fossil-4465-5125661-6.jpg|
1966,Hand Bags,Les Catino,PARIS PASSY SATCHEL,Rp 1.199.800,female,black,https://www.zalora.co.id/les-catino-paris-passy-satchel-black-1961149.html,http://static.id.zalora.net/p/les-catino-3788-9411691-1.jpg|http://static.id.zalora.net/p/les-catino-3788-9411691-2.jpg|http://static.id.zalora.net/p/les-catino-3789-9411691-3.jpg|http://static.id.zalora.net/p/les-catino-3789-9411691-4.jpg|http://static.id.zalora.net/p/les-catino-3789-9411691-5.jpg|
1967,Hand Bags,GYKACO,GYKACO Tas Wanita Hand bag - CLEO Beige - Fashion Top Handle Bag (Import),Rp 817.000,female,beige,https://www.zalora.co.id/gykaco-gykaco-tas-wanita-hand-bag-cleo-beige-fashion-top-handle-bag-import-beige-2273397.html,http://static.id.zalora.net/p/gykaco-0492-7933722-1.jpg|http://static.id.zalora.net/p/gykaco-0492-7933722-2.jpg|http://static.id.zalora.net/p/gykaco-0492-7933722-3.jpg|http://static.id.zalora.net/p/gykaco-0492-7933722-4.jpg|http://static.id.zalora.net/p/gykaco-0492-7933722-5.jpg|
1968,Hand Bags,Primrose,Alne,Rp 599.000,female,black,https://www.zalora.co.id/primrose-alne-black-2269737.html,http://static.id.zalora.net/p/primrose-7244-7379622-1.jpg|http://static.id.zalora.net/p/primrose-7244-7379622-2.jpg|http://static.id.zalora.net/p/primrose-7244-7379622-3.jpg|http://static.id.zalora.net/p/primrose-7244-7379622-4.jpg|http://static.id.zalora.net/p/primrose-7244-7379622-5.jpg|
1969,Hand Bags,Primrose,Venisa,Rp 599.000,female,black,https://www.zalora.co.id/primrose-venisa-black-2348352.html,http://static.id.zalora.net/p/primrose-8294-2538432-1.jpg|http://static.id.zalora.net/p/primrose-8294-2538432-2.jpg|http://static.id.zalora.net/p/primrose-8294-2538432-3.jpg|http://static.id.zalora.net/p/primrose-8294-2538432-4.jpg|http://static.id.zalora.net/p/primrose-8294-2538432-5.jpg|
1970,Hand Bags,GYKACO,GYKACO Tas Wanita Hand bag - SIERRA Grey - Fashion Top Handle Bag (Import),Rp 939.000,female,grey,https://www.zalora.co.id/gykaco-gykaco-tas-wanita-hand-bag-sierra-grey-fashion-top-handle-bag-import-grey-2053926.html,http://static.id.zalora.net/p/gykaco-0150-6293502-1.jpg|http://static.id.zalora.net/p/gykaco-0150-6293502-2.jpg|http://static.id.zalora.net/p/gykaco-0150-6293502-3.jpg|http://static.id.zalora.net/p/gykaco-0151-6293502-4.jpg|http://static.id.zalora.net/p/gykaco-0151-6293502-5.jpg|http://static.id.zalora.net/p/gykaco-0151-6293502-6.jpg|
1971,Hand Bags,Berrybenka Label,Yiona Avva Monochrome Shoulder  Handbags Black,Rp 429.000,female,black,https://www.zalora.co.id/berrybenka-label-yiona-avva-monochrome-shoulder-handbags-black-black-2088791.html,http://static.id.zalora.net/p/berrybenka-label-0488-1978802-1.jpg|http://static.id.zalora.net/p/berrybenka-label-0489-1978802-2.jpg|http://static.id.zalora.net/p/berrybenka-label-0489-1978802-3.jpg|http://static.id.zalora.net/p/berrybenka-label-0489-1978802-4.jpg|http://static.id.zalora.net/p/berrybenka-label-0490-1978802-5.jpg|
1972,Hand Bags,Catriona,Catriona Sierra braided top handle bag - PINK,Rp 650.000,female,pink,https://www.zalora.co.id/catriona-catriona-sierra-braided-top-handle-bag-pink-pink-2238236.html,http://static.id.zalora.net/p/catriona-2554-6328322-1.jpg|http://static.id.zalora.net/p/catriona-2554-6328322-2.jpg|http://static.id.zalora.net/p/catriona-2554-6328322-3.jpg|http://static.id.zalora.net/p/catriona-2555-6328322-4.jpg|http://static.id.zalora.net/p/catriona-2555-6328322-5.jpg|
1973,Hand Bags,SAINT LUCAS,Saint Lucas Premium Women Bag,Rp 1.199.000,female,black,https://www.zalora.co.id/saint-lucas-saint-lucas-premium-women-bag-black-2256745.html,http://static.id.zalora.net/p/saint-lucas-2410-5476522-1.jpg|http://static.id.zalora.net/p/saint-lucas-2410-5476522-2.jpg|http://static.id.zalora.net/p/saint-lucas-2410-5476522-3.jpg|http://static.id.zalora.net/p/saint-lucas-2410-5476522-4.jpg|
1974,Hand Bags,SAINT LUCAS,Saint Lucas Premium Women Bag,Rp 999.000,female,pink,https://www.zalora.co.id/saint-lucas-saint-lucas-premium-women-bag-pink-2217880.html,http://static.id.zalora.net/p/saint-lucas-9824-0887122-1.jpg|http://static.id.zalora.net/p/saint-lucas-9824-0887122-2.jpg|http://static.id.zalora.net/p/saint-lucas-9824-0887122-3.jpg|http://static.id.zalora.net/p/saint-lucas-9825-0887122-4.jpg|http://static.id.zalora.net/p/saint-lucas-9825-0887122-5.jpg|
1975,Hand Bags,Primrose,Lika,Rp 599.000,female,brown,https://www.zalora.co.id/primrose-lika-brown-2172958.html,http://static.id.zalora.net/p/primrose-3521-8592712-1.jpg|http://static.id.zalora.net/p/primrose-3522-8592712-2.jpg|http://static.id.zalora.net/p/primrose-3522-8592712-3.jpg|http://static.id.zalora.net/p/primrose-3522-8592712-4.jpg|http://static.id.zalora.net/p/primrose-3522-8592712-5.jpg|
